id,country,sector,sector_base_prob,country_multiplier,tariff_risk_prob,tariff_risk_pct
83,BOSNIA AND HERZEGOVINA,Maritime,0.2481,1,0.2481,24.80%
84,BOSNIA AND HERZEGOVINA,Metals,0.3206,1,0.3206,32.10%
85,BOSNIA AND HERZEGOVINA,Minerals,0.3199,1,0.3199,32.00%
86,BOSNIA AND HERZEGOVINA,Pharmaceutical,0.3201,1,0.3201,32.00%
87,BOSNIA AND HERZEGOVINA,Semiconductor,0.3201,1,0.3201,32.00%
88,BOSNIA AND HERZEGOVINA,Steel & Aluminum,0.3208,1,0.3208,32.10%
89,BOTSWANA,Aerospace,0.2174,1,0.2174,21.70%
90,BOTSWANA,Agriculture,0.5263,1,0.5263,52.60%
91,BOTSWANA,Automotive,0.262,1,0.262,26.20%
92,BOTSWANA,Energy,0.3861,1,0.3861,38.60%
93,BOTSWANA,Lumber,0.3205,1,0.3205,32.00%
94,BOTSWANA,Maritime,0.2481,1,0.2481,24.80%
95,BOTSWANA,Metals,0.3206,1,0.3206,32.10%
96,BOTSWANA,Minerals,0.3199,1,0.3199,32.00%
97,BOTSWANA,Pharmaceutical,0.3201,1,0.3201,32.00%
98,BOTSWANA,Semiconductor,0.3201,1,0.3201,32.00%
99,BOTSWANA,Steel & Aluminum,0.3208,1,0.3208,32.10%
100,BRAZIL,Aerospace,0.2174,2,0.4348,43.50%
101,BRAZIL,Agriculture,0.5263,2,0.99,99.00%
102,BRAZIL,Automotive,0.262,2,0.524,52.40%
103,BRAZIL,Energy,0.3861,2,0.7722,77.20%
104,BRAZIL,Lumber,0.3205,2,0.641,64.10%
105,BRAZIL,Maritime,0.2481,2,0.4962,49.60%
106,BRAZIL,Metals,0.3206,2,0.6412,64.10%
107,BRAZIL,Minerals,0.3199,2,0.6398,64.00%
108,BRAZIL,Pharmaceutical,0.3201,2,0.6402,64.00%
109,BRAZIL,Semiconductor,0.3201,2,0.6402,64.00%
110,BRAZIL,Steel & Aluminum,0.3208,2,0.6416,64.20%
111,BRUNEI,Aerospace,0.2174,1,0.2174,21.70%
112,BRUNEI,Agriculture,0.5263,1,0.5263,52.60%
113,BRUNEI,Automotive,0.262,1,0.262,26.20%
114,BRUNEI,Energy,0.3861,1,0.3861,38.60%
115,BRUNEI,Lumber,0.3205,1,0.3205,32.00%
116,BRUNEI,Maritime,0.2481,1,0.2481,24.80%
117,BRUNEI,Metals,0.3206,1,0.3206,32.10%
118,BRUNEI,Minerals,0.3199,1,0.3199,32.00%
119,BRUNEI,Pharmaceutical,0.3201,1,0.3201,32.00%
120,BRUNEI,Semiconductor,0.3201,1,0.3201,32.00%
121,BRUNEI,Steel & Aluminum,0.3208,1,0.3208,32.10%
122,CAMBODIA,Aerospace,0.2174,1,0.2174,21.70%
123,CAMBODIA,Agriculture,0.5263,1,0.5263,52.60%
124,CAMBODIA,Automotive,0.262,1,0.262,26.20%
125,CAMBODIA,Energy,0.3861,1,0.3861,38.60%
126,CAMBODIA,Lumber,0.3205,1,0.3205,32.00%
127,CAMBODIA,Maritime,0.2481,1,0.2481,24.80%
128,CAMBODIA,Metals,0.3206,1,0.3206,32.10%
129,CAMBODIA,Minerals,0.3199,1,0.3199,32.00%
130,CAMBODIA,Pharmaceutical,0.3201,1,0.3201,32.00%
131,CAMBODIA,Semiconductor,0.3201,1,0.3201,32.00%
132,CAMBODIA,Steel & Aluminum,0.3208,1,0.3208,32.10%
133,CAMEROON,Aerospace,0.2174,1,0.2174,21.70%
134,CAMEROON,Agriculture,0.5263,1,0.5263,52.60%
135,CAMEROON,Automotive,0.262,1,0.262,26.20%
136,CAMEROON,Energy,0.3861,1,0.3861,38.60%
137,CAMEROON,Lumber,0.3205,1,0.3205,32.00%
138,CAMEROON,Maritime,0.2481,1,0.2481,24.80%
139,CAMEROON,Metals,0.3206,1,0.3206,32.10%
140,CAMEROON,Minerals,0.3199,1,0.3199,32.00%
141,CAMEROON,Pharmaceutical,0.3201,1,0.3201,32.00%
142,CAMEROON,Semiconductor,0.3201,1,0.3201,32.00%
143,CAMEROON,Steel & Aluminum,0.3208,1,0.3208,32.10%
144,CANADA,Aerospace,0.2174,2,0.4348,43.50%
145,CANADA,Agriculture,0.5263,2,0.99,99.00%
146,CANADA,Automotive,0.262,2,0.524,52.40%
147,CANADA,Energy,0.3861,2,0.7722,77.20%
148,CANADA,Lumber,0.3205,2,0.641,64.10%
149,CANADA,Maritime,0.2481,2,0.4962,49.60%
150,CANADA,Metals,0.3206,2,0.6412,64.10%
151,CANADA,Minerals,0.3199,2,0.6398,64.00%
152,CANADA,Pharmaceutical,0.3201,2,0.6402,64.00%
153,CANADA,Semiconductor,0.3201,2,0.6402,64.00%
154,CANADA,Steel & Aluminum,0.3208,2,0.6416,64.20%
155,CHAD,Aerospace,0.2174,1,0.2174,21.70%
156,CHAD,Agriculture,0.5263,1,0.5263,52.60%
157,CHAD,Automotive,0.262,1,0.262,26.20%
158,CHAD,Energy,0.3861,1,0.3861,38.60%
159,CHAD,Lumber,0.3205,1,0.3205,32.00%
160,CHAD,Maritime,0.2481,1,0.2481,24.80%
161,CHAD,Metals,0.3206,1,0.3206,32.10%
162,CHAD,Minerals,0.3199,1,0.3199,32.00%
163,CHAD,Pharmaceutical,0.3201,1,0.3201,32.00%
164,CHAD,Semiconductor,0.3201,1,0.3201,32.00%
165,CHAD,Steel & Aluminum,0.3208,1,0.3208,32.10%
166,CHINA,Aerospace,0.2174,2,0.4348,43.50%
167,CHINA,Agriculture,0.5263,2,0.99,99.00%
168,CHINA,Automotive,0.262,2,0.524,52.40%
169,CHINA,Energy,0.3861,2,0.7722,77.20%
170,CHINA,Lumber,0.3205,2,0.641,64.10%
171,CHINA,Maritime,0.2481,2,0.4962,49.60%
172,CHINA,Metals,0.3206,2,0.6412,64.10%
173,CHINA,Minerals,0.3199,2,0.6398,64.00%
174,CHINA,Pharmaceutical,0.3201,2,0.6402,64.00%
175,CHINA,Semiconductor,0.3201,2,0.6402,64.00%
176,CHINA,Steel & Aluminum,0.3208,2,0.6416,64.20%
177,COSTA RICA,Aerospace,0.2174,1,0.2174,21.70%
178,COSTA RICA,Agriculture,0.5263,1,0.5263,52.60%
179,COSTA RICA,Automotive,0.262,1,0.262,26.20%
180,COSTA RICA,Energy,0.3861,1,0.3861,38.60%
181,COSTA RICA,Lumber,0.3205,1,0.3205,32.00%
182,COSTA RICA,Maritime,0.2481,1,0.2481,24.80%
183,COSTA RICA,Metals,0.3206,1,0.3206,32.10%
184,COSTA RICA,Minerals,0.3199,1,0.3199,32.00%
185,COSTA RICA,Pharmaceutical,0.3201,1,0.3201,32.00%
186,COSTA RICA,Semiconductor,0.3201,1,0.3201,32.00%
187,COSTA RICA,Steel & Aluminum,0.3208,1,0.3208,32.10%
188,CÔTE D`IVOIRE,Aerospace,0.2174,1,0.2174,21.70%
189,CÔTE D`IVOIRE,Agriculture,0.5263,1,0.5263,52.60%
190,CÔTE D`IVOIRE,Automotive,0.262,1,0.262,26.20%
191,CÔTE D`IVOIRE,Energy,0.3861,1,0.3861,38.60%
192,CÔTE D`IVOIRE,Lumber,0.3205,1,0.3205,32.00%
193,CÔTE D`IVOIRE,Maritime,0.2481,1,0.2481,24.80%
194,CÔTE D`IVOIRE,Metals,0.3206,1,0.3206,32.10%
195,CÔTE D`IVOIRE,Minerals,0.3199,1,0.3199,32.00%
196,CÔTE D`IVOIRE,Pharmaceutical,0.3201,1,0.3201,32.00%
197,CÔTE D`IVOIRE,Semiconductor,0.3201,1,0.3201,32.00%
198,CÔTE D`IVOIRE,Steel & Aluminum,0.3208,1,0.3208,32.10%
199,DEMOCRATIC REPUBLIC OF THE CONGO,Aerospace,0.2174,1,0.2174,21.70%
200,DEMOCRATIC REPUBLIC OF THE CONGO,Agriculture,0.5263,1,0.5263,52.60%
201,DEMOCRATIC REPUBLIC OF THE CONGO,Automotive,0.262,1,0.262,26.20%
202,DEMOCRATIC REPUBLIC OF THE CONGO,Energy,0.3861,1,0.3861,38.60%
203,DEMOCRATIC REPUBLIC OF THE CONGO,Lumber,0.3205,1,0.3205,32.00%
204,DEMOCRATIC REPUBLIC OF THE CONGO,Maritime,0.2481,1,0.2481,24.80%
205,DEMOCRATIC REPUBLIC OF THE CONGO,Metals,0.3206,1,0.3206,32.10%
206,DEMOCRATIC REPUBLIC OF THE CONGO,Minerals,0.3199,1,0.3199,32.00%
207,DEMOCRATIC REPUBLIC OF THE CONGO,Pharmaceutical,0.3201,1,0.3201,32.00%
208,DEMOCRATIC REPUBLIC OF THE CONGO,Semiconductor,0.3201,1,0.3201,32.00%
209,DEMOCRATIC REPUBLIC OF THE CONGO,Steel & Aluminum,0.3208,1,0.3208,32.10%
210,ECUADOR,Aerospace,0.2174,1,0.2174,21.70%
211,ECUADOR,Agriculture,0.5263,1,0.5263,52.60%
