country_iso3,month_start,manufacturing_strength,imports,exports,trade_deficit,trade_deficit_3m_mean,trade_deficit_3m_change,fx_to_usd,fx_to_usd_3m_mean,fx_to_usd_3m_std,GSCPI,gscpi_3m_mean,unemployment_rate,unemployment_3m_mean,political_risk_score,tariff_event_count
AGO,2025-12-01,,39.601302,60.733351,-21.132049,-61.0662060000001,78.67062999999999,0.0010961474800665,0.0010965679012234,3.655047885528455e-07,0.54,0.1000000000000003,4.4,4.45,,0
AGO,2026-01-01,,,,,,,,0.0010965930122578,4.455321913499862e-07,0.41,0.2633333333333336,4.3,4.4,,0
AGO,2026-02-01,,,,,,,,,,,,,,,0
AGO,2026-03-01,,,,,,,,,,,,,,,0
AGO,2026-04-01,,,,,,,,,,,,,,,0
AGO,2026-05-01,,,,,,,,,,,,,,,0
AGO,2026-06-01,,,,,,,,,,,,,,,0
AGO,2026-07-01,,,,,,,,,,,,,,,0
AGO,2026-08-01,,,,,,,,,,,,,,,0
AGO,2026-09-01,,,,,,,,,,,,,,,0
AGO,2026-10-01,,,,,,,,,,,,,,,0
AGO,2026-11-01,,,,,,,,,,,,,,,0
ARG,2024-11-01,,638.142433,737.613281,-99.47084800000005,18.58618866666673,-10.815027999999984,,,,-0.28,-0.173333333333333,4.2,4.133333333333334,,0
ARG,2024-12-01,,684.163719,873.032998,-188.869279,-74.25299733333327,-278.517558,,,,-0.26,-0.2966666666666663,4.1,4.133333333333334,,0
ARG,2025-01-01,-1.5512147002065997,662.665948,697.84568,-35.17973200000006,-107.83995299999997,-100.76086700000008,0.0009505703422053,0.0009505703422053,,-0.18,-0.2399999999999996,4.0,4.1000000000000005,,0
ARG,2025-02-01,-1.5372041785293928,448.67392,726.105353,-277.431433,-167.16014799999996,-177.96058499999998,0.0009405125793557,0.0009455414607805,5.028881424799949e-06,0.0,-0.1466666666666663,4.2,4.1000000000000005,,0
ARG,2025-03-01,-1.5181879262004732,472.1656,791.410471,-319.24487100000005,-210.61867866666665,-130.37559200000004,0.0009324009324009,0.0009411612846539,7.431800010004559e-06,-0.18,-0.1199999999999997,4.2,4.133333333333334,,0
ARG,2025-04-01,-1.4987040609119442,531.900492,755.855495,-223.95500300000003,-273.54376899999994,-188.775271,0.0008580008580008,0.0009103047899191,3.7132426751363545e-05,-0.24,-0.1399999999999997,4.2,4.2,,0
ARG,2025-05-01,-1.4812337123398889,602.376681,790.493368,-188.11668700000007,-243.772187,89.31474599999996,0.0008449514152936,0.0008784510685651,3.851850503042357e-05,0.28,-0.0466666666666663,4.3,4.233333333333333,,0
ARG,2025-06-01,-1.487754241216437,705.373913,979.626382,-274.252469,-228.77471966666664,44.99240200000003,0.0008329862557267,0.000845312843007,1.0215366014878126e-05,0.09,0.0433333333333336,4.1,4.2,,0
ARG,2025-07-01,-1.4498159303005018,788.705606,1060.291083,-271.5854770000001,-244.6515443333333,-47.63047400000005,0.0007301935012778,0.000802710390766,5.150932411807813e-05,0.03,0.1333333333333336,4.3,4.233333333333333,,0
ARG,2025-08-01,-1.4633970526551627,758.865227,844.367056,-85.50182900000004,-210.44659166666665,102.61485800000004,0.0007476635514018,0.0007702811028021,4.490918848303304e-05,-0.08,0.0133333333333336,4.3,4.233333333333333,,1
ARG,2025-09-01,-1.4103515361373633,758.577276,854.627853,-96.05057699999998,-151.04596099999995,178.20189200000004,0.0007270083605961,0.0007349551377585,9.079798576554607e-06,-0.02,-0.023333333333333,4.4,4.333333333333333,,0
ARG,2025-10-01,-1.4121717350118452,869.868897,840.234634,29.63426299999992,-50.63938099999996,301.21974,0.0006942034015966,0.0007229584378648,2.201209228122184e-05,-0.08,-0.0599999999999997,,4.35,,0
