Target type,Geography,Target,First announced,Date in effect,Legal authority,Rate,Sources,,,,,,
Sector,Global,Unmanned Aircraft Systems (UAS/Drones) and parts,7/1/2025,Under investigation,Section 232,TBD,90 FR 31958,,,,,,
Sector,Global,Steel and aluminum,2/10/2025,3/12/2025,Section 232,25%,Proclamation 10895,90 FR 11251,Proclamation 10896,,,,
Sector,Global,Copper,2/25/2025,8/1/2025,Section 232,50%,EO 14220,White House Proclamation,,,,,
Sector,Global,Timber and lumber,3/1/2025,Report due no later than 11/26/2025,Section 232,TBD,EO 14223,,,,,,
Sector,Global,Automobiles,3/26/2025,4/3/2025,"Section 232, 301, 604",25%,Proclamation 10908,Proclamation 10925,EO 14289,,,,
Sector,Global,Automobile parts,3/26/2025,5/3/2025,"Section 232, 301, 604",25%,Proclamation 10908,Proclamation 10925,EO 14289,,,,
Sector,Global,Processed critical minerals & derivative products,4/15/2025,Report due no later than 10/12/2025,Section 232,TBD,EO 14272,,,,,,
Sector,Global,Semiconductors and semiconductor manufacturing equipment,4/1/2025,Report due no later than 12/27/2025,Section 232,TBD,90 FR 15950,,,,,,
Sector,Global,"Trucks, truck parts, and derivative products",4/22/2025,Report due no later than 1/17/2026,Section 232,TBD,90 FR 17371,,,,,,
Sector,China,"Maritime, logistics, and shipbuilding",4/17/2024,"Pending implementation, 10/14/2025",Section 301,"Chinese-owned and operated ships: $50 per net ton, Chinese-built ships operated by non-Chinese entities: $18 per net ton, Ship-to-shore cranes, cargo handling machinery: TBD",USTR Press Release,EO 14269,,,,,
Sector,Global,Pharmaceuticals & pharmaceutical ingredients,4/1/2025,Report due no later than 12/27/2025,Section 232,TBD,90 FR 15951,,,,,,
Sector,Global,Commercial aircraft and jet engines & parts ,5/1/2025,Report due no later than 1/26/2026,Section 232,TBD,90 FR 20273,,,,,,
Economy,Ghana,Non-reciprocal trade: Individual rate,8/1/2025,8/7/2025,IEEPA,15%,USTR Press Release,EO 14257,EO 14326,,,,
Economy,Guyana,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,15%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,EO 14326,
Economy,Iceland,Non-reciprocal trade: Individual rate,8/1/2025,8/7/2025,IEEPA,15%,USTR Press Release,EO 14257,EO 14326,,,,
Economy,India,Russian oil imports,8/6/2025,8/27/2025,IEEPA,25%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,EO 14326,
Economy,India,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,25%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,EO 14326,
Economy,India,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,25%,EO 14329,,,,,,
Economy,Indonesia,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,19%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,White House Fact Sheet,EO 14326
Economy,Iraq,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,35%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,EO 14326,EO 14326
Economy,Israel,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,15%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,EO 14326,EO 14326
