"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","2025","2025-Q1","2025-M01","2025-M02","2025-M03","2025-Q2","2025-M04","2025-M05","2025-M06","2025-Q3","2025-M07","2025-M08","2025-M09","2025-Q4","2025-M10","2025-M11","2025-M12","2026-M01"
"IMF.STA:ER(4.0.1)","GTM.XDC_USD.EOP_RT.Q","OBS_VALUE","Guatemala","Domestic currency per US Dollar","End-of-period (EoP)","Quarterly","Units","","7.713465","","","","7.68719","","","","7.657195","","","","7.66532","","","",""
"IMF.STA:ER(4.0.1)","DNK.EUR_XDC.EOP_RT.Q","OBS_VALUE","Denmark","Euros per domestic currency","End-of-period (EoP)","Quarterly","Units","","0.134025467653389","","","","0.1340311531289841","","","","0.1339597685057316","","","","0.1339688368390187","","","",""
"IMF.STA:ER(4.0.1)","HKG.EUR_XDC.EOP_RT.Q","OBS_VALUE","Hong Kong Special Administrative Region, People's Republic of China","Euros per domestic currency","End-of-period (EoP)","Quarterly","Units","","0.118848547730171","","","","0.1086725238259075","","","","0.1094469555589105","","","","0.1093350243817104","","","",""
"IMF.STA:ER(4.0.1)","DNK.USD_XDC.PA_RT.A","OBS_VALUE","Denmark","US Dollar per domestic currency","Period average","Annual","Units","0.1510157679212835","","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","DNK.USD_XDC.EOP_RT.A","OBS_VALUE","Denmark","US Dollar per domestic currency","End-of-period (EoP)","Annual","Units","0.157413383285847","","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","DNK.EUR_XDC.EOP_RT.A","OBS_VALUE","Denmark","Euros per domestic currency","End-of-period (EoP)","Annual","Units","0.1339688368390187","","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","DNK.USD_XDC.PA_RT.Q","OBS_VALUE","Denmark","US Dollar per domestic currency","Period average","Quarterly","Units","","0.1410183243441202","","","","0.1518771176416359","","","","0.1564885962065286","","","","0.1557265883372309","","","",""
"IMF.STA:ER(4.0.1)","IRQ.XDC_USD.EOP_RT.M","OBS_VALUE","Iraq","Domestic currency per US Dollar","End-of-period (EoP)","Monthly","Units","","","1300","1300","1300","","1300","1300","1300","","1300","1300","1300","","1300","1300","",""
"IMF.STA:ER(4.0.1)","IRQ.XDR_XDC.PA_RT.M","OBS_VALUE","Iraq","SDR per domestic currency","Period average","Monthly","Units","","","0.0005909825808478481","0.0005881388597828285","0.0005791014288003279","","0.000570570621641028","0.0005685013564264318","0.0005637183373824772","","0.0005620525518030636","0.0005631243622655505","0.0005609929620166585","","0.0005638225989024251","0.0005667156153686067","",""
"IMF.STA:ER(4.0.1)","IRQ.XDR_XDC.EOP_RT.M","OBS_VALUE","Iraq","SDR per domestic currency","End-of-period (EoP)","Monthly","Units","","","0.0005899800000000003","0.0005876461538461541","0.0005789369230769228","","0.0005672315384615383","0.0005669830769230768","0.0005598461538461538","","0.0005677353846153845","0.0005620392307692308","0.000561083846153846","","0.0005662792307692308","0.0005662076923076922","",""
"IMF.STA:ER(4.0.1)","IRQ.USD_XDC.PA_RT.M","OBS_VALUE","Iraq","US Dollar per domestic currency","Period average","Monthly","Units","","","0.0007692307692307692","0.0007692307692307692","0.0007692307692307692","","0.0007692307692307692","0.0007692307692307692","0.0007692307692307692","","0.0007692307692307692","0.0007692307692307692","0.0007692307692307692","","0.0007692307692307692","0.0007692307692307692","",""
"IMF.STA:ER(4.0.1)","IRQ.USD_XDC.EOP_RT.M","OBS_VALUE","Iraq","US Dollar per domestic currency","End-of-period (EoP)","Monthly","Units","","","0.0007692307692307692","0.0007692307692307692","0.0007692307692307692","","0.0007692307692307692","0.0007692307692307692","0.0007692307692307692","","0.0007692307692307692","0.0007692307692307692","0.0007692307692307692","","0.0007692307692307692","0.0007692307692307692","",""
"IMF.STA:ER(4.0.1)","IRQ.XDC_USD.PA_RT.M","OBS_VALUE","Iraq","Domestic currency per US Dollar","Period average","Monthly","Units","","","1300","1300","1300","","1300","1300","1300","","1300","1300","1300","","1300","1300","",""
"IMF.STA:ER(4.0.1)","GTM.XDC_EUR.EOP_RT.Q","OBS_VALUE","Guatemala","Domestic currency per Euro","End-of-period (EoP)","Quarterly","Units","","8.3421123975","","","","9.00938668","","","","8.9903126495","","","","9.006751","","","",""
"IMF.STA:ER(4.0.1)","GTM.USD_XDC.EOP_RT.A","OBS_VALUE","Guatemala","US Dollar per domestic currency","End-of-period (EoP)","Annual","Units","0.1304576977869156","","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","GTM.USD_XDC.PA_RT.Q","OBS_VALUE","Guatemala","US Dollar per domestic currency","Period average","Quarterly","Units","","0.1296613806603135","","","","0.1300912286422725","","","","0.1304760527514681","","","","0.130600361153532","","","",""
"IMF.STA:ER(4.0.1)","GTM.XDC_USD.EOP_RT.A","OBS_VALUE","Guatemala","Domestic currency per US Dollar","End-of-period (EoP)","Annual","Units","7.66532","","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","GTM.EUR_XDC.EOP_RT.Q","OBS_VALUE","Guatemala","Euros per domestic currency","End-of-period (EoP)","Quarterly","Units","","0.1198737145162039","","","","0.1109953469107844","","","","0.1112308369003847","","","","0.111027827903758","","","",""
"IMF.STA:ER(4.0.1)","GTM.XDC_EUR.EOP_RT.A","OBS_VALUE","Guatemala","Domestic currency per Euro","End-of-period (EoP)","Annual","Units","9.006751","","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","GTM.XDC_USD.PA_RT.A","OBS_VALUE","Guatemala","Domestic currency per US Dollar","Period average","Annual","Units","7.680124583333335","","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","GTM.USD_XDC.EOP_RT.Q","OBS_VALUE","Guatemala","US Dollar per domestic currency","End-of-period (EoP)","Quarterly","Units","","0.1296434222492745","","","","0.1300865465794393","","","","0.1305961256047417","","","","0.1304576977869156","","","",""
"IMF.STA:ER(4.0.1)","IRQ.EUR_XDC.EOP_RT.M","OBS_VALUE","Iraq","Euros per domestic currency","End-of-period (EoP)","Monthly","Units","","","0.0007401431436839885","0.0007388634801947644","0.0007112628471851773","","0.0006763657515438048","0.0006783938347568297","0.0006563402467839328","","0.0006720520437102649","0.0006598308193779115","0.000655166313968801","","0.0006657700962703559","0.0006650793439657351","",""
"IMF.STA:ER(4.0.1)","HKG.EUR_XDC.EOP_RT.A","OBS_VALUE","Hong Kong Special Administrative Region, People's Republic of China","Euros per domestic currency","End-of-period (EoP)","Annual","Units","0.1093350243817104","","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","JPN.EUR_XDC.EOP_RT.A","OBS_VALUE","Japan","Euros per domestic currency","End-of-period (EoP)","Annual","Units","0.005445066089489661","","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","JPN.XDC_EUR.EOP_RT.Q","OBS_VALUE","Japan","Domestic currency per Euro","End-of-period (EoP)","Quarterly","Units","","161.66262","","","","169.63528","","","","174.741303","","","","183.6525","","","",""
"IMF.STA:ER(4.0.1)","JPN.USD_XDC.EOP_RT.Q","OBS_VALUE","Japan","US Dollar per domestic currency","End-of-period (EoP)","Quarterly","Units","","0.00668985817500669","","","","0.00690894016857814","","","","0.006719075455217362","","","","0.006397952655150352","","","",""
"IMF.STA:ER(4.0.1)","JPN.USD_XDC.PA_RT.A","OBS_VALUE","Japan","US Dollar per domestic currency","Period average","Annual","Units","0.006681904666023135","","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","IRQ.XDC_XDR.PA_RT.M","OBS_VALUE","Iraq","Domestic currency per SDR","Period average","Monthly","Units","","","1692.09725025289","1700.278740923958","1726.813214865675","","1752.631422073367","1759.010754672504","1773.935552005132","","1779.193060848139","1775.806672573746","1782.553557187595","","1773.607517589162","1764.553460115218","",""
"IMF.STA:ER(4.0.1)","JPN.XDC_USD.EOP_RT.A","OBS_VALUE","Japan","Domestic currency per US Dollar","End-of-period (EoP)","Annual","Units","156.3","","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","IRQ.XDC_EUR.EOP_RT.M","OBS_VALUE","Iraq","Domestic currency per Euro","End-of-period (EoP)","Monthly","Units","","","1351.09","1353.43","1405.95","","1478.49","1474.07","1523.6","","1487.98","1515.54","1526.33","","1502.02","1503.58","",""
"IMF.STA:ER(4.0.1)","JPN.EUR_XDC.EOP_RT.Q","OBS_VALUE","Japan","Euros per domestic currency","End-of-period (EoP)","Quarterly","Units","","0.00618572184466638","","","","0.005895000143838004","","","","0.005722745469054903","","","","0.005445066089489661","","","",""
"IMF.STA:ER(4.0.1)","JPN.XDC_EUR.EOP_RT.A","OBS_VALUE","Japan","Domestic currency per Euro","End-of-period (EoP)","Annual","Units","183.6525","","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","JPN.USD_XDC.EOP_RT.A","OBS_VALUE","Japan","US Dollar per domestic currency","End-of-period (EoP)","Annual","Units","0.006397952655150352","","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","JPN.USD_XDC.PA_RT.Q","OBS_VALUE","Japan","US Dollar per domestic currency","Period average","Quarterly","Units","","0.006556664688953755","","","","0.006916839685892959","","","","0.006780387971930474","","","","0.006491135277021287","","","",""
"IMF.STA:ER(4.0.1)","JPN.XDC_USD.EOP_RT.Q","OBS_VALUE","Japan","Domestic currency per US Dollar","End-of-period (EoP)","Quarterly","Units","","149.48","","","","144.74","","","","148.83","","","","156.3","","","",""
"IMF.STA:ER(4.0.1)","SWZ.EUR_XDC.PA_RT.A","OBS_VALUE","Eswatini, Kingdom of","Euros per domestic currency","Period average","Annual","Units","0.0494702258637362","","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","AUS.USD_XDC.PA_RT.Q","OBS_VALUE","Australia","US Dollar per domestic currency","Period average","Quarterly","Units","","0.6273100425997236","","","","0.6403525674134587","","","","0.6542630837505373","","","","0.6562512506817629","","","",""
"IMF.STA:ER(4.0.1)","SWZ.EUR_XDC.EOP_RT.A","OBS_VALUE","Eswatini, Kingdom of","Euros per domestic currency","End-of-period (EoP)","Annual","Units","0.05124434042553181","","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","SWZ.USD_XDC.PA_RT.A","OBS_VALUE","Eswatini, Kingdom of","US Dollar per domestic currency","Period average","Annual","Units","0.05590052102221328","","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","SWZ.XDC_EUR.PA_RT.A","OBS_VALUE","Eswatini, Kingdom of","Domestic currency per Euro","Period average","Annual","Units","20.21417898423308","","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","SWZ.XDC_EUR.EOP_RT.Q","OBS_VALUE","Eswatini, Kingdom of","Domestic currency per Euro","End-of-period (EoP)","Quarterly","Units","","19.78636695","","","","20.83863041124286","","","","20.28857784689823","","","","19.51435010570969","","","",""
"IMF.STA:ER(4.0.1)","SWZ.USD_XDC.EOP_RT.Q","OBS_VALUE","Eswatini, Kingdom of","US Dollar per domestic currency","End-of-period (EoP)","Quarterly","Units","","0.05465884680765005","","","","0.05624170000000011","","","","0.05786999999999998","","","","0.06021209999999989","","","",""
"IMF.STA:ER(4.0.1)","AUS.XDC_USD.EOP_RT.A","OBS_VALUE","Australia","Domestic currency per US Dollar","End-of-period (EoP)","Annual","Units","1.49409831166891","","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","AUS.XDC_USD.PA_RT.A","OBS_VALUE","Australia","Domestic currency per US Dollar","Period average","Annual","Units","1.551997886648505","","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","AUS.USD_XDC.PA_RT.A","OBS_VALUE","Australia","US Dollar per domestic currency","Period average","Annual","Units","0.6443307742895652","","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","SWZ.XDC_USD.PA_RT.A","OBS_VALUE","Eswatini, Kingdom of","Domestic currency per US Dollar","Period average","Annual","Units","17.88892092083772","","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","AUS.XDC_EUR.EOP_RT.Q","OBS_VALUE","Australia","Domestic currency per Euro","End-of-period (EoP)","Quarterly","Units","","1.722133757961784","","","","1.789312977099239","","","","1.778400484701601","","","","1.755565516210969","","","",""
"IMF.STA:ER(4.0.1)","AUS.XDC_USD.EOP_RT.Q","OBS_VALUE","Australia","Domestic currency per US Dollar","End-of-period (EoP)","Quarterly","Units","","1.59235668789809","","","","1.52671755725191","","","","1.51469251741896","","","","1.49409831166891","","","",""
"IMF.STA:ER(4.0.1)","AUS.XDC_USD.PA_RT.Q","OBS_VALUE","Australia","Domestic currency per US Dollar","Period average","Quarterly","Units","","1.59410806792724","","","","1.561639713633453","","","","1.52843714529565","","","","1.523806619737677","","","",""
"IMF.STA:ER(4.0.1)","SWZ.XDC_USD.EOP_RT.Q","OBS_VALUE","Eswatini, Kingdom of","Domestic currency per US Dollar","End-of-period (EoP)","Quarterly","Units","","18.2953","","","","17.7804013747806","","","","17.2801105927078","","","","16.6079575367742","","","",""
"IMF.STA:ER(4.0.1)","SWZ.XDC_USD.PA_RT.Q","OBS_VALUE","Eswatini, Kingdom of","Domestic currency per US Dollar","Period average","Quarterly","Units","","18.50128858101754","","","","18.28167260033333","","","","17.64994017033333","","","","17.12278233166667","","","",""
"IMF.STA:ER(4.0.1)","SWZ.XDC_USD.EOP_RT.A","OBS_VALUE","Eswatini, Kingdom of","Domestic currency per US Dollar","End-of-period (EoP)","Annual","Units","16.6079575367742","","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","SWZ.EUR_XDC.EOP_RT.Q","OBS_VALUE","Eswatini, Kingdom of","Euros per domestic currency","End-of-period (EoP)","Quarterly","Units","","0.0505398491055479","","","","0.04798779863481239","","","","0.04928881696618684","","","","0.05124434042553181","","","",""
"IMF.STA:ER(4.0.1)","SWZ.USD_XDC.PA_RT.Q","OBS_VALUE","Eswatini, Kingdom of","US Dollar per domestic currency","Period average","Quarterly","Units","","0.05405028928774223","","","","0.05469959023233831","","","","0.05665741585236855","","","","0.05840172354177579","","","",""
"IMF.STA:ER(4.0.1)","AUS.USD_XDC.EOP_RT.Q","OBS_VALUE","Australia","US Dollar per domestic currency","End-of-period (EoP)","Quarterly","Units","","0.6279999999999997","","","","0.6549999999999993","","","","0.6602000000000017","","","","0.669299999999999","","","",""
"IMF.STA:ER(4.0.1)","SWZ.XDC_EUR.EOP_RT.A","OBS_VALUE","Eswatini, Kingdom of","Domestic currency per Euro","End-of-period (EoP)","Annual","Units","19.51435010570969","","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","SWZ.USD_XDC.EOP_RT.A","OBS_VALUE","Eswatini, Kingdom of","US Dollar per domestic currency","End-of-period (EoP)","Annual","Units","0.06021209999999989","","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","AUS.EUR_XDC.EOP_RT.A","OBS_VALUE","Australia","Euros per domestic currency","End-of-period (EoP)","Annual","Units","0.569617021276595","","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","AUS.EUR_XDC.EOP_RT.Q","OBS_VALUE","Australia","Euros per domestic currency","End-of-period (EoP)","Quarterly","Units","","0.5806749884419785","","","","0.558873720136518","","","","0.5623030406268646","","","","0.569617021276595","","","",""
"IMF.STA:ER(4.0.1)","NRU.XDC_EUR.EOP_RT.A","OBS_VALUE","Nauru, Republic of","Domestic currency per Euro","End-of-period (EoP)","Annual","Units","1.755565516210969","","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","URY.EUR_XDC.EOP_RT.A","OBS_VALUE","Uruguay","Euros per domestic currency","End-of-period (EoP)","Annual","Units","0.02179923234003315","","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","URY.XDC_EUR.EOP_RT.Q","OBS_VALUE","Uruguay","Domestic currency per Euro","End-of-period (EoP)","Quarterly","Units","","45.5603505","","","","46.350256","","","","46.7820145","","","","45.873175","","","",""
"IMF.STA:ER(4.0.1)","URY.USD_XDC.EOP_RT.A","OBS_VALUE","Uruguay","US Dollar per domestic currency","End-of-period (EoP)","Annual","Units","0.02561409799953895","","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","AUS.XDC_EUR.PA_RT.A","OBS_VALUE","Australia","Domestic currency per Euro","Period average","Annual","Units","1.753731440968057","","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","TUV.USD_XDC.EOP_RT.A","OBS_VALUE","Tuvalu","US Dollar per domestic currency","End-of-period (EoP)","Annual","Units","0.669299999999999","","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","AUS.USD_XDC.EOP_RT.A","OBS_VALUE","Australia","US Dollar per domestic currency","End-of-period (EoP)","Annual","Units","0.669299999999999","","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","URY.EUR_XDC.PA_RT.A","OBS_VALUE","Uruguay","Euros per domestic currency","Period average","Annual","Units","0.02148476571669441","","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","AUS.XDC_EUR.EOP_RT.A","OBS_VALUE","Australia","Domestic currency per Euro","End-of-period (EoP)","Annual","Units","1.755565516210969","","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","URY.USD_XDC.PA_RT.A","OBS_VALUE","Uruguay","US Dollar per domestic currency","Period average","Annual","Units","0.02427742296773693","","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","URY.USD_XDC.PA_RT.Q","OBS_VALUE","Uruguay","US Dollar per domestic currency","Period average","Quarterly","Units","","0.02300670837271635","","","","0.02403075937199616","","","","0.02494615787591781","","","","0.02525451287622385","","","",""
"IMF.STA:ER(4.0.1)","URY.EUR_XDC.EOP_RT.Q","OBS_VALUE","Uruguay","Euros per domestic currency","End-of-period (EoP)","Quarterly","Units","","0.0219489092824253","","","","0.02157485386919977","","","","0.02137573618169008","","","","0.02179923234003315","","","",""
"IMF.STA:ER(4.0.1)","URY.USD_XDC.EOP_RT.Q","OBS_VALUE","Uruguay","US Dollar per domestic currency","End-of-period (EoP)","Quarterly","Units","","0.02373774538894296","","","","0.02528572873470213","","","","0.02509725185092232","","","","0.02561409799953895","","","",""
"IMF.STA:ER(4.0.1)","NRU.XDC_USD.EOP_RT.Q","OBS_VALUE","Nauru, Republic of","Domestic currency per US Dollar","End-of-period (EoP)","Quarterly","Units","","1.59235668789809","","","","1.52671755725191","","","","1.51469251741896","","","","1.49409831166891","","","",""
"IMF.STA:ER(4.0.1)","NRU.XDC_USD.PA_RT.Q","OBS_VALUE","Nauru, Republic of","Domestic currency per US Dollar","Period average","Quarterly","Units","","1.59410806792724","","","","1.561639713633453","","","","1.52843714529565","","","","1.523806619737677","","","",""
"IMF.STA:ER(4.0.1)","SRB.XDC_USD.EOP_RT.Q","OBS_VALUE","Serbia, Republic of","Domestic currency per US Dollar","End-of-period (EoP)","Quarterly","Units","","108.1778","","","","99.8841","","","","99.9236","","","","99.9165","","","",""
"IMF.STA:ER(4.0.1)","NRU.USD_XDC.EOP_RT.A","OBS_VALUE","Nauru, Republic of","US Dollar per domestic currency","End-of-period (EoP)","Annual","Units","0.669299999999999","","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","URY.XDC_USD.EOP_RT.Q","OBS_VALUE","Uruguay","Domestic currency per US Dollar","End-of-period (EoP)","Quarterly","Units","","42.127","","","","39.548","","","","39.845","","","","39.041","","","",""
"IMF.STA:ER(4.0.1)","URY.XDC_EUR.PA_RT.A","OBS_VALUE","Uruguay","Domestic currency per Euro","Period average","Annual","Units","46.54460808120264","","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","NRU.EUR_XDC.EOP_RT.A","OBS_VALUE","Nauru, Republic of","Euros per domestic currency","End-of-period (EoP)","Annual","Units","0.569617021276595","","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","NRU.USD_XDC.PA_RT.Q","OBS_VALUE","Nauru, Republic of","US Dollar per domestic currency","Period average","Quarterly","Units","","0.6273100425997236","","","","0.6403525674134587","","","","0.6542630837505373","","","","0.6562512506817629","","","",""
"IMF.STA:ER(4.0.1)","SRB.XDC_USD.EOP_RT.A","OBS_VALUE","Serbia, Republic of","Domestic currency per US Dollar","End-of-period (EoP)","Annual","Units","99.9165","","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","URY.XDC_USD.PA_RT.A","OBS_VALUE","Uruguay","Domestic currency per US Dollar","Period average","Annual","Units","41.19053333333332","","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","NRU.USD_XDC.EOP_RT.Q","OBS_VALUE","Nauru, Republic of","US Dollar per domestic currency","End-of-period (EoP)","Quarterly","Units","","0.6279999999999997","","","","0.6549999999999993","","","","0.6602000000000017","","","","0.669299999999999","","","",""
"IMF.STA:ER(4.0.1)","URY.XDC_USD.EOP_RT.A","OBS_VALUE","Uruguay","Domestic currency per US Dollar","End-of-period (EoP)","Annual","Units","39.041","","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","NRU.XDC_EUR.PA_RT.A","OBS_VALUE","Nauru, Republic of","Domestic currency per Euro","Period average","Annual","Units","1.753731440968057","","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","NRU.EUR_XDC.EOP_RT.Q","OBS_VALUE","Nauru, Republic of","Euros per domestic currency","End-of-period (EoP)","Quarterly","Units","","0.5806749884419785","","","","0.558873720136518","","","","0.5623030406268646","","","","0.569617021276595","","","",""
"IMF.STA:ER(4.0.1)","NRU.USD_XDC.PA_RT.A","OBS_VALUE","Nauru, Republic of","US Dollar per domestic currency","Period average","Annual","Units","0.6443307742895652","","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","NRU.EUR_XDC.PA_RT.A","OBS_VALUE","Nauru, Republic of","Euros per domestic currency","Period average","Annual","Units","0.5702127341960646","","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","NRU.XDC_USD.EOP_RT.A","OBS_VALUE","Nauru, Republic of","Domestic currency per US Dollar","End-of-period (EoP)","Annual","Units","1.49409831166891","","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","NRU.XDC_USD.PA_RT.A","OBS_VALUE","Nauru, Republic of","Domestic currency per US Dollar","Period average","Annual","Units","1.551997886648505","","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","NRU.XDC_EUR.EOP_RT.Q","OBS_VALUE","Nauru, Republic of","Domestic currency per Euro","End-of-period (EoP)","Quarterly","Units","","1.722133757961784","","","","1.789312977099239","","","","1.778400484701601","","","","1.755565516210969","","","",""
"IMF.STA:ER(4.0.1)","URY.XDC_EUR.EOP_RT.A","OBS_VALUE","Uruguay","Domestic currency per Euro","End-of-period (EoP)","Annual","Units","45.873175","","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","SGP.XDC_USD.EOP_RT.Q","OBS_VALUE","Singapore","Domestic currency per US Dollar","End-of-period (EoP)","Quarterly","Units","","1.341","","","","1.2758","","","","1.2913","","","","1.2841","","","",""
"IMF.STA:ER(4.0.1)","SGP.XDC_EUR.EOP_RT.A","OBS_VALUE","Singapore","Domestic currency per Euro","End-of-period (EoP)","Annual","Units","1.5088175","","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","CAN.XDC_USD.EOP_RT.Q","OBS_VALUE","Canada","Domestic currency per US Dollar","End-of-period (EoP)","Quarterly","Units","","1.4376","","","","1.3643","","","","1.3921","","","","1.3706","","","",""
"IMF.STA:ER(4.0.1)","SGP.XDC_EUR.PA_RT.A","OBS_VALUE","Singapore","Domestic currency per Euro","Period average","Annual","Units","1.477396452803923","","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","CAN.USD_XDC.EOP_RT.A","OBS_VALUE","Canada","US Dollar per domestic currency","End-of-period (EoP)","Annual","Units","0.7296074711805049","","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","SGP.EUR_XDC.PA_RT.A","OBS_VALUE","Singapore","Euros per domestic currency","Period average","Annual","Units","0.6768663875577329","","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","SGP.USD_XDC.EOP_RT.A","OBS_VALUE","Singapore","US Dollar per domestic currency","End-of-period (EoP)","Annual","Units","0.778755548633284","","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","CAN.EUR_XDC.EOP_RT.A","OBS_VALUE","Canada","Euros per domestic currency","End-of-period (EoP)","Annual","Units","0.6209425286642595","","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","CAN.XDC_EUR.EOP_RT.Q","OBS_VALUE","Canada","Domestic currency per Euro","End-of-period (EoP)","Quarterly","Units","","1.5547644","","","","1.5989596","","","","1.63446461","","","","1.610455","","","",""
"IMF.STA:ER(4.0.1)","CAN.USD_XDC.EOP_RT.Q","OBS_VALUE","Canada","US Dollar per domestic currency","End-of-period (EoP)","Quarterly","Units","","0.6956037840845854","","","","0.7329766180458843","","","","0.7183391997701315","","","","0.7296074711805049","","","",""
"IMF.STA:ER(4.0.1)","SGP.EUR_XDC.EOP_RT.Q","OBS_VALUE","Singapore","Euros per domestic currency","End-of-period (EoP)","Quarterly","Units","","0.6895165558096424","","","","0.6687900304272712","","","","0.659580429148487","","","","0.6627706796879013","","","",""
"IMF.STA:ER(4.0.1)","SGP.USD_XDC.PA_RT.Q","OBS_VALUE","Singapore","US Dollar per domestic currency","Period average","Quarterly","Units","","0.741546371366423","","","","0.7686985932815743","","","","0.7789779808890737","","","","0.7712280521350165","","","",""
"IMF.STA:ER(4.0.1)","SGP.XDC_USD.PA_RT.A","OBS_VALUE","Singapore","Domestic currency per US Dollar","Period average","Annual","Units","1.30745","","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","SGP.XDC_USD.EOP_RT.A","OBS_VALUE","Singapore","Domestic currency per US Dollar","End-of-period (EoP)","Annual","Units","1.2841","","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","CAN.EUR_XDC.EOP_RT.Q","OBS_VALUE","Canada","Euros per domestic currency","End-of-period (EoP)","Quarterly","Units","","0.6431842663750212","","","","0.6254066706876146","","","","0.6118211394005038","","","","0.6209425286642595","","","",""
"IMF.STA:ER(4.0.1)","CAN.XDC_EUR.EOP_RT.A","OBS_VALUE","Canada","Domestic currency per Euro","End-of-period (EoP)","Annual","Units","1.610455","","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","SGP.XDC_EUR.EOP_RT.Q","OBS_VALUE","Singapore","Domestic currency per Euro","End-of-period (EoP)","Quarterly","Units","","1.4502915","","","","1.4952376","","","","1.51611533","","","","1.5088175","","","",""
"IMF.STA:ER(4.0.1)","SGP.USD_XDC.PA_RT.A","OBS_VALUE","Singapore","US Dollar per domestic currency","Period average","Annual","Units","0.7648476041148801","","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","CAN.XDC_USD.EOP_RT.A","OBS_VALUE","Canada","Domestic currency per US Dollar","End-of-period (EoP)","Annual","Units","1.3706","","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","HKG.USD_XDC.PA_RT.A","OBS_VALUE","Hong Kong Special Administrative Region, People's Republic of China","US Dollar per domestic currency","Period average","Annual","Units","0.1282530860898841","","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","KAZ.USD_XDC.PA_RT.Q","OBS_VALUE","Kazakhstan, Republic of","US Dollar per domestic currency","Period average","Quarterly","Units","","0.001962464593867952","","","","0.001946623581398065","","","","0.001865091700341933","","","","0.001905850962454736","","","",""
