"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","2025","2025-Q1","2025-M01","2025-M02","2025-M03","2025-Q2","2025-M04","2025-M05","2025-M06","2025-Q3","2025-M07","2025-M08","2025-M09","2025-Q4","2025-M10","2025-M11","2025-M12","2026-M01"
"IMF.STA:ER(4.0.1)","TZA.XDC_EUR.EOP_RT.M","OBS_VALUE","Tanzania, United Republic of","Domestic currency per Euro","End-of-period (EoP)","Monthly","Units","","","2584.364952","2687.381019","2865.9479625","","3047.05416","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","TZA.XDC_XDR.EOP_RT.M","OBS_VALUE","Tanzania, United Republic of","Domestic currency per SDR","End-of-period (EoP)","Monthly","Units","","","3242.143801484795","3378.917192449668","3521.009330098404","","3633.301283833356","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","TZA.USD_XDC.PA_RT.Q","OBS_VALUE","Tanzania, United Republic of","US Dollar per domestic currency","Period average","Quarterly","Units","","0.0003933319225828377","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","TZA.XDC_XDR.PA_RT.M","OBS_VALUE","Tanzania, United Republic of","Domestic currency per SDR","Period average","Monthly","Units","","","3188.647932586939","3343.159995274495","3481.87310897298","","3596.59111937296","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","TZA.XDC_USD.PA_RT.M","OBS_VALUE","Tanzania, United Republic of","Domestic currency per US Dollar","Period average","Monthly","Units","","","2449.766","2556.115","2621.265","","2667.742","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","TZA.EUR_XDC.EOP_RT.M","OBS_VALUE","Tanzania, United Republic of","Euros per domestic currency","End-of-period (EoP)","Monthly","Units","","","0.0003869422541217004","0.0003721094972874779","0.0003489246884746952","","0.0003281858304743753","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","TZA.USD_XDC.EOP_RT.M","OBS_VALUE","Tanzania, United Republic of","US Dollar per domestic currency","End-of-period (EoP)","Monthly","Units","","","0.0004021490847086832","0.0003874031976259932","0.0003773620505853829","","0.000373245744998507","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","TZA.USD_XDC.EOP_RT.Q","OBS_VALUE","Tanzania, United Republic of","US Dollar per domestic currency","End-of-period (EoP)","Quarterly","Units","","0.0003773620505853829","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","TZA.XDR_XDC.EOP_RT.M","OBS_VALUE","Tanzania, United Republic of","SDR per domestic currency","End-of-period (EoP)","Monthly","Units","","","0.0003084378920953577","0.0002959527987944013","0.0002840094717874696","","0.000275231785607644","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","TZA.XDC_EUR.EOP_RT.Q","OBS_VALUE","Tanzania, United Republic of","Domestic currency per Euro","End-of-period (EoP)","Quarterly","Units","","2865.9479625","","","","","","","","","","","","","","","",""
