Target type,Geography,Target,First announced,Date in effect,Legal authority,Rate,Sources,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,country_raw,country_std,First announced_parsed,event_date,month_start,sector_raw,sector_std,country_iso3,mapping_confidence
Economy,Papa New Guinea,Non-reciprocal trade: Individual rate,8/1/2025,8/7/2025,IEEPA,15%,USTR Press Release,EO 14257,EO 14326,,,,,Papa New Guinea,PAPA NEW GUINEA,2025-08-01,2025-08-07,2025-08-01,Non-reciprocal trade: Individual rate,GENERAL,,unmapped
Economy,Philippines,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,19%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,EO 14326,,Philippines,PHILIPPINES,2025-04-02,2025-08-07,2025-08-01,Non-reciprocal trade: Individual rate,GENERAL,PHL,high
Economy,Russia,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,0%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,EO 14326,,Russia,RUSSIA,2025-04-02,2025-08-07,2025-08-01,Non-reciprocal trade: Individual rate,GENERAL,RUS,high
Economy,Saudi Arabia,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,10%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,EO 14326,,Saudi Arabia,SAUDI ARABIA,2025-04-02,2025-08-07,2025-08-01,Non-reciprocal trade: Individual rate,GENERAL,SAU,high
Economy,Serbia,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,35%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,White House Fact Sheet,EO 14326,Serbia,SERBIA,2025-04-02,2025-08-07,2025-08-01,Non-reciprocal trade: Individual rate,GENERAL,SRB,high
Economy,South Africa,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,30%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,White House Fact Sheet,EO 14326,South Africa,SOUTH AFRICA,2025-04-02,2025-08-07,2025-08-01,Non-reciprocal trade: Individual rate,GENERAL,ZAF,high
Economy,South Korea,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,15%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,White House Fact Sheet,EO 14326,South Korea,SOUTH KOREA,2025-04-02,2025-08-07,2025-08-01,Non-reciprocal trade: Individual rate,GENERAL,KOR,high
Economy,Sri Lanka,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,20%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,EO 14326,,Sri Lanka,SRI LANKA,2025-04-02,2025-08-07,2025-08-01,Non-reciprocal trade: Individual rate,GENERAL,LKA,high
Economy,Switzerland,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,39%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,EO 14326,,Switzerland,SWITZERLAND,2025-04-02,2025-08-07,2025-08-01,Non-reciprocal trade: Individual rate,GENERAL,CHE,high
Economy,Syria,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,41%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,EO 14326,,Syria,SYRIA,2025-04-02,2025-08-07,2025-08-01,Non-reciprocal trade: Individual rate,GENERAL,SYR,high
Economy,Taiwan,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,20%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,EO 14326,,Taiwan,TAIWAN,2025-04-02,2025-08-07,2025-08-01,Non-reciprocal trade: Individual rate,GENERAL,TWN,high
Economy,Thailand,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,19%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,White House Fact Sheet,EO 14326,Thailand,THAILAND,2025-04-02,2025-08-07,2025-08-01,Non-reciprocal trade: Individual rate,GENERAL,THA,high
Economy,Trinidad and Tobago,Non-reciprocal trade: Individual rate,8/1/2025,8/7/2025,IEEPA,15%,USTR Press Release,EO 14257,EO 14326,,,,,Trinidad and Tobago,TRINIDAD AND TOBAGO,2025-08-01,2025-08-07,2025-08-01,Non-reciprocal trade: Individual rate,GENERAL,TTO,high
Economy,Tunisia,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,25%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,White House Fact Sheet,EO 14326,Tunisia,TUNISIA,2025-04-02,2025-08-07,2025-08-01,Non-reciprocal trade: Individual rate,GENERAL,TUN,high
Economy,Turkey,Non-reciprocal trade: Individual rate,8/1/2025,8/7/2025,IEEPA,15%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,EO 14326,,Turkey,TURKIYE,2025-08-01,2025-08-07,2025-08-01,Non-reciprocal trade: Individual rate,GENERAL,TUR,high
Economy,Uganda,Non-reciprocal trade: Individual rate,8/1/2025,8/7/2025,IEEPA,15%,USTR Press Release,EO 14257,EO 14326,,,,,Uganda,UGANDA,2025-08-01,2025-08-07,2025-08-01,Non-reciprocal trade: Individual rate,GENERAL,UGA,high
Economy,United Kingdom,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,10%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,EO 14326,,United Kingdom,UK,2025-04-02,2025-08-07,2025-08-01,Non-reciprocal trade: Individual rate,GENERAL,GBR,high
Economy,United Kingdom,Aerospace products,6/16/2025,6/23/2025,"Section 232, 604, 301",Exempt from reciprocal tariffs,EO 14309,White House Fact Sheet,,,,,,United Kingdom,UK,2025-06-16,2025-06-23,2025-06-01,Aerospace products,AEROSPACE,GBR,high
Economy,United Kingdom,Automobiles (within quota),6/16/2025,6/23/2025,"Section 232, 604, 301",10% (including MFN and within quota) / 25% (over quota),EO 14309,White House Fact Sheet,,,,,,United Kingdom,UK,2025-06-16,2025-06-23,2025-06-01,Automobiles (within quota),AUTOMOTIVE,GBR,high
Economy,United Kingdom,Automobile parts,6/16/2025,6/23/2025,"Section 232, 604, 301",10% (including MFN duties),EO 14309,White House Fact Sheet,,,,,,United Kingdom,UK,2025-06-16,2025-06-23,2025-06-01,Automobile parts,AUTOMOTIVE,GBR,high
Economy,Vanuatu,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,15%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,EO 14326,,Vanuatu,VANUATU,2025-04-02,2025-08-07,2025-08-01,Non-reciprocal trade: Individual rate,GENERAL,VUT,high
Economy,Venezuela,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,15%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,EO 14326,,Venezuela,VENEZUELA,2025-04-02,2025-08-07,2025-08-01,Non-reciprocal trade: Individual rate,GENERAL,VEN,high
Economy,Vietnam,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,20%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,EO 14326,,Vietnam,VIETNAM,2025-04-02,2025-08-07,2025-08-01,Non-reciprocal trade: Individual rate,GENERAL,VNM,high
Economy,Zambia,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,15%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,EO 14326,,Zambia,ZAMBIA,2025-04-02,2025-08-07,2025-08-01,Non-reciprocal trade: Individual rate,GENERAL,ZMB,high
Economy,Zimbabwe,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,18%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,EO 14326,,Zimbabwe,ZIMBABWE,2025-04-02,2025-08-07,2025-08-01,Non-reciprocal trade: Individual rate,GENERAL,ZWE,high
